unique_id,ds,RandomForestRegressor,KNeighborsRegressor
CA_1,2016-05-23,4064.7893,4212.8506
CA_1,2016-05-24,3200.545,3437.551
CA_1,2016-05-25,4002.992,4420.4053
CA_1,2016-05-26,3312.0706,3417.8806
CA_1,2016-05-27,4673.0913,4681.322
CA_1,2016-05-28,4221.117,4466.3477
CA_1,2016-05-29,3857.2732,3890.4575
CA_1,2016-05-30,4473.465,4055.4543
CA_1,2016-05-31,3388.0547,3410.2783
CA_1,2016-06-01,3327.131,3324.295
CA_1,2016-06-02,4842.6655,4415.949
CA_1,2016-06-03,4641.6035,4592.4316
CA_1,2016-06-04,3676.1362,3921.7346
CA_1,2016-06-05,3758.9294,3836.6187
CA_1,2016-06-06,4439.5225,4297.6924
CA_1,2016-06-07,3538.9849,3766.85
CA_1,2016-06-08,3921.4165,3735.9583
CA_1,2016-06-09,3859.4402,3789.7517
CA_1,2016-06-10,3860.1545,4248.341
CA_1,2016-06-11,4876.04,4893.1143
CA_1,2016-06-12,4573.654,4144.6997
CA_1,2016-06-13,4043.657,3690.645
CA_1,2016-06-14,3940.0923,3955.7307
CA_1,2016-06-15,3144.468,3384.111
CA_1,2016-06-16,4628.0825,4579.2153
CA_1,2016-06-17,5184.698,4719.1113
CA_1,2016-06-18,4241.354,4466.3477
CA_1,2016-06-19,3474.471,3707.1055
CA_1,2016-06-20,4046.156,3557.97
CA_1,2016-06-21,3469.471,3403.8623
CA_1,2016-06-22,4225.5557,4484.7593
CA_1,2016-06-23,4730.978,4958.4614
CA_1,2016-06-24,4763.9907,4943.959
CA_1,2016-06-25,4249.545,4112.619
CA_1,2016-06-26,5566.2056,4961.948
CA_1,2016-06-27,4049.1116,4193.5244
CA_1,2016-06-28,3661.9817,3747.4392
CA_1,2016-06-29,3627.4111,3731.3008
CA_1,2016-06-30,4731.1147,5251.4526
CA_1,2016-07-01,4874.6543,4720.2905
CA_1,2016-07-02,5712.815,5790.0
CA_1,2016-07-03,5235.138,4784.4
CA_1,2016-07-04,5198.331,5398.311
CA_1,2016-07-05,3425.7903,3359.3115
CA_1,2016-07-06,3627.997,3580.9255
CA_1,2016-07-07,4685.551,5080.383
CA_1,2016-07-08,5756.0107,5643.174
CA_1,2016-07-09,4577.834,4511.5015
CA_1,2016-07-10,5289.778,4584.328
CA_1,2016-07-11,3408.2144,3657.289
CA_1,2016-07-12,3574.3105,3821.6929
CA_1,2016-07-13,3942.876,4395.7744
CA_1,2016-07-14,3867.533,3935.898
CA_1,2016-07-15,3810.255,4377.5264
CA_1,2016-07-16,5200.789,5256.616
CA_1,2016-07-17,4143.106,4165.431
CA_1,2016-07-18,3341.3274,3333.6653
CA_1,2016-07-19,3431.236,3949.0889
CA_1,2016-07-20,3592.512,3538.485
CA_1,2016-07-21,4247.3228,4074.5173
CA_1,2016-07-22,5651.644,5681.7246
CA_1,2016-07-23,5406.667,5387.2686
CA_1,2016-07-24,4690.5522,4844.693
CA_1,2016-07-25,4140.854,4194.114
CA_1,2016-07-26,4415.7256,4351.642
CA_1,2016-07-27,4607.3975,4738.138
CA_1,2016-07-28,4062.0347,4162.099
CA_1,2016-07-29,3740.0068,3694.9683
CA_1,2016-07-30,4029.9624,4505.644
CA_1,2016-07-31,5839.422,5041.2617
CA_1,2016-08-01,4420.1978,3988.3003
CA_1,2016-08-02,4184.094,4049.9414
CA_1,2016-08-03,3545.0552,3964.7498
CA_1,2016-08-04,5142.8364,5214.702
CA_1,2016-08-05,4382.633,4583.275
CA_1,2016-08-06,5077.973,5180.7207
CA_1,2016-08-07,5536.756,4630.0474
CA_1,2016-08-08,4146.76,4175.38
CA_1,2016-08-09,3867.533,3935.898
CA_1,2016-08-10,3859.4402,3789.7517
CA_1,2016-08-11,4511.707,4129.879
CA_1,2016-08-12,3936.062,4566.283
CA_1,2016-08-13,5629.2046,5316.8877
CA_1,2016-08-14,3836.0447,4115.885
CA_1,2016-08-15,4794.104,4031.4077
CA_1,2016-08-16,4667.961,4627.0
CA_1,2016-08-17,3515.0361,3583.2395
CA_1,2016-08-18,4483.922,4459.443
CA_1,2016-08-19,5219.2803,5540.63
CA_1,2016-08-20,4779.5034,5085.026
CA_1,2016-08-21,4710.0513,4867.6567
CA_1,2016-08-22,3691.432,3229.0137
CA_1,2016-08-23,4352.31,3723.8118
CA_1,2016-08-24,4147.4707,4178.163
CA_1,2016-08-25,4722.3325,4349.3857
CA_1,2016-08-26,4672.254,4642.3135
CA_1,2016-08-27,3557.929,4580.159
CA_1,2016-08-28,4476.1426,3183.2112
CA_1,2016-08-29,3266.658,3669.953
CA_1,2016-08-30,4596.882,3713.8965
CA_1,2016-08-31,3996.4297,5095.629
CA_1,2016-09-01,4919.6816,4647.3633
CA_1,2016-09-02,4950.602,3558.0164
