unique_id,ds,RandomForestRegressor,KNeighborsRegressor
FOODS_1_004,2016-05-23,44.16848,0.0
FOODS_1_004,2016-05-24,44.16848,0.0
FOODS_1_004,2016-05-25,44.16848,0.0
FOODS_1_004,2016-05-26,44.16848,0.0
FOODS_1_004,2016-05-27,44.16848,0.0
FOODS_1_004,2016-05-28,44.16848,0.0
FOODS_1_004,2016-05-29,51.36634,69.37334
FOODS_1_004,2016-05-30,44.16848,0.0
FOODS_1_004,2016-05-31,67.22222,74.414604
FOODS_1_004,2016-06-01,44.16848,0.0
FOODS_1_004,2016-06-02,44.16848,0.0
FOODS_1_004,2016-06-03,44.16848,0.0
FOODS_1_004,2016-06-04,44.16848,0.0
FOODS_1_004,2016-06-05,44.16848,0.0
FOODS_1_004,2016-06-06,44.16848,0.0
FOODS_1_004,2016-06-07,44.16848,0.0
FOODS_1_004,2016-06-08,44.16848,0.0
FOODS_1_004,2016-06-09,44.16848,0.0
FOODS_1_004,2016-06-10,44.16848,0.0
FOODS_1_004,2016-06-11,44.16848,0.0
FOODS_1_004,2016-06-12,44.16848,0.0
FOODS_1_004,2016-06-13,44.16848,0.0
FOODS_1_004,2016-06-14,44.16848,0.0
FOODS_1_004,2016-06-15,44.16848,0.0
FOODS_1_004,2016-06-16,44.16848,0.0
FOODS_1_004,2016-06-17,44.16848,0.0
FOODS_1_004,2016-06-18,44.16848,0.0
FOODS_1_004,2016-06-19,44.16848,0.0
FOODS_1_004,2016-06-20,44.16848,0.0
FOODS_1_004,2016-06-21,44.16848,0.0
FOODS_1_004,2016-06-22,44.16848,0.0
FOODS_1_004,2016-06-23,44.16848,0.0
FOODS_1_004,2016-06-24,44.16848,0.0
FOODS_1_004,2016-06-25,44.16848,0.0
FOODS_1_004,2016-06-26,44.16848,0.0
FOODS_1_004,2016-06-27,44.16848,0.0
FOODS_1_004,2016-06-28,44.16848,0.0
FOODS_1_004,2016-06-29,44.16848,0.0
FOODS_1_004,2016-06-30,44.16848,0.0
FOODS_1_004,2016-07-01,44.16848,0.0
FOODS_1_004,2016-07-02,44.16848,0.0
FOODS_1_004,2016-07-03,44.16848,0.0
FOODS_1_004,2016-07-04,44.16848,0.0
FOODS_1_004,2016-07-05,44.16848,0.0
FOODS_1_004,2016-07-06,44.16848,0.0
FOODS_1_004,2016-07-07,44.16848,0.0
FOODS_1_004,2016-07-08,44.16848,0.0
FOODS_1_004,2016-07-09,44.16848,0.0
FOODS_1_004,2016-07-10,44.16848,0.0
FOODS_1_004,2016-07-11,44.16848,0.0
FOODS_1_004,2016-07-12,44.16848,0.0
FOODS_1_004,2016-07-13,44.16848,0.0
FOODS_1_004,2016-07-14,44.16848,0.0
FOODS_1_004,2016-07-15,44.16848,0.0
FOODS_1_004,2016-07-16,44.16848,0.0
FOODS_1_004,2016-07-17,44.16848,0.0
FOODS_1_004,2016-07-18,44.16848,0.0
FOODS_1_004,2016-07-19,44.16848,0.0
FOODS_1_004,2016-07-20,44.16848,0.0
FOODS_1_004,2016-07-21,44.16848,0.0
FOODS_1_004,2016-07-22,44.16848,0.0
FOODS_1_004,2016-07-23,44.16848,0.0
FOODS_1_004,2016-07-24,44.16848,0.0
FOODS_1_004,2016-07-25,31.909533,65.52554
FOODS_1_004,2016-07-26,49.285763,51.0
FOODS_1_004,2016-07-27,50.046555,49.333336
FOODS_1_004,2016-07-28,67.49639,101.666664
FOODS_1_004,2016-07-29,112.7547,130.00002
FOODS_1_004,2016-07-30,73.37043,108.0
FOODS_1_004,2016-07-31,84.010506,129.66666
FOODS_1_004,2016-08-01,132.17596,91.296295
FOODS_1_004,2016-08-02,91.978584,103.00001
FOODS_1_004,2016-08-03,98.724075,89.33333
FOODS_1_004,2016-08-04,87.07232,55.666664
FOODS_1_004,2016-08-05,100.134834,166.78673
FOODS_1_004,2016-08-06,100.34811,116.666664
FOODS_1_004,2016-08-07,105.26335,112.0
FOODS_1_004,2016-08-08,86.03197,67.333336
FOODS_1_004,2016-08-09,82.51169,74.0
FOODS_1_004,2016-08-10,87.72723,104.666664
FOODS_1_004,2016-08-11,85.724174,111.666664
FOODS_1_004,2016-08-12,106.500534,120.71429
FOODS_1_004,2016-08-13,102.285484,112.666664
FOODS_1_004,2016-08-14,77.28646,152.66666
FOODS_1_004,2016-08-15,66.90397,83.0
FOODS_1_004,2016-08-16,90.01893,103.65625
FOODS_1_004,2016-08-17,72.19253,104.666664
FOODS_1_004,2016-08-18,93.30898,107.0
FOODS_1_004,2016-08-19,84.48956,66.0
FOODS_1_004,2016-08-20,101.19951,158.66666
FOODS_1_004,2016-08-21,67.71178,0.0
FOODS_1_004,2016-08-22,67.71178,0.0
FOODS_1_004,2016-08-23,67.71178,0.0
FOODS_1_004,2016-08-24,67.71178,0.0
FOODS_1_004,2016-08-25,67.71178,0.0
FOODS_1_004,2016-08-26,67.71178,0.0
FOODS_1_004,2016-08-27,140.6271,108.11798
FOODS_1_004,2016-08-28,67.71178,0.0
FOODS_1_004,2016-08-29,58.183365,116.396774
FOODS_1_004,2016-08-30,67.71178,0.0
FOODS_1_004,2016-08-31,67.71178,0.0
FOODS_1_004,2016-09-01,67.71178,0.0
FOODS_1_004,2016-09-02,67.71178,0.0
FOODS_1_004,2016-09-03,67.71178,0.0
FOODS_1_004,2016-09-04,67.71178,0.0
FOODS_1_004,2016-09-05,67.71178,0.0
FOODS_1_004,2016-09-06,67.71178,0.0
FOODS_1_004,2016-09-07,67.71178,0.0
FOODS_1_004,2016-09-08,67.71178,0.0
FOODS_1_004,2016-09-09,67.71178,0.0
FOODS_1_004,2016-09-10,67.71178,0.0
FOODS_1_004,2016-09-11,67.71178,0.0
FOODS_1_004,2016-09-12,67.71178,0.0
FOODS_1_004,2016-09-13,67.71178,0.0
FOODS_1_004,2016-09-14,67.71178,0.0
