unique_id,ds,RandomForestRegressor,KNeighborsRegressor
CA,2016-05-23,15600.531,14666.513
CA,2016-05-24,14238.525,13898.389
CA,2016-05-25,12672.618,13372.284
CA,2016-05-26,16809.883,14667.0
CA,2016-05-27,17372.467,15636.227
CA,2016-05-28,19165.688,17472.395
CA,2016-05-29,14545.134,14893.901
CA,2016-05-30,14583.681,16457.0
CA,2016-05-31,15748.976,16414.604
CA,2016-06-01,14627.85,15089.831
CA,2016-06-02,15127.12,14715.666
CA,2016-06-03,15596.38,14999.668
CA,2016-06-04,18661.95,17226.748
CA,2016-06-05,14884.515,15684.001
CA,2016-06-06,13306.281,13063.396
CA,2016-06-07,13581.191,13289.543
CA,2016-06-08,16585.951,17143.783
CA,2016-06-09,15321.641,17711.29
CA,2016-06-10,20499.72,18834.123
CA,2016-06-11,22164.94,20572.002
CA,2016-06-12,16416.037,15847.703
CA,2016-06-13,12425.589,12659.32
CA,2016-06-14,16438.668,13275.424
CA,2016-06-15,14209.269,14353.371
CA,2016-06-16,13504.28,13776.001
CA,2016-06-17,19001.002,17494.674
CA,2016-06-18,14043.424,13897.114
CA,2016-06-19,9204.317,8993.387
CA,2016-06-20,14497.225,15281.404
CA,2016-06-21,17977.756,16933.842
CA,2016-06-22,14695.257,13749.6875
CA,2016-06-23,15707.745,15534.664
CA,2016-06-24,20279.94,20521.666
CA,2016-06-25,15810.88,18484.334
CA,2016-06-26,16551.846,15157.504
CA,2016-06-27,15638.682,15535.259
CA,2016-06-28,13480.547,14257.182
CA,2016-06-29,16096.922,17973.15
CA,2016-06-30,18794.545,17672.008
CA,2016-07-01,20768.3,18598.666
CA,2016-07-02,17538.719,17408.0
CA,2016-07-03,16978.447,16794.787
CA,2016-07-04,16221.975,15059.587
CA,2016-07-05,14675.7705,13869.561
CA,2016-07-06,13771.512,13937.373
CA,2016-07-07,15435.679,14880.601
CA,2016-07-08,16262.665,17340.07
CA,2016-07-09,18784.8,17681.332
CA,2016-07-10,14549.076,17152.129
CA,2016-07-11,12913.951,13872.69
CA,2016-07-12,15561.773,14962.846
CA,2016-07-13,15661.113,15642.375
CA,2016-07-14,16170.505,16514.1
CA,2016-07-15,17235.066,16090.001
CA,2016-07-16,18730.996,17977.725
CA,2016-07-17,16476.78,15753.526
CA,2016-07-18,12664.834,14802.4795
CA,2016-07-19,16661.908,16712.041
CA,2016-07-20,19496.396,18296.53
CA,2016-07-21,14490.404,15018.0
CA,2016-07-22,19996.844,19327.0
CA,2016-07-23,18029.184,18683.332
CA,2016-07-24,16554.092,16482.719
CA,2016-07-25,17893.754,17866.963
CA,2016-07-26,15781.454,15104.435
CA,2016-07-27,13245.748,13478.059
CA,2016-07-28,17839.658,16456.787
CA,2016-07-29,17240.77,19279.0
CA,2016-07-30,20279.94,20521.666
CA,2016-07-31,15574.316,17112.307
CA,2016-08-01,16230.781,16991.688
CA,2016-08-02,12288.128,12659.448
CA,2016-08-03,18477.5,19826.666
CA,2016-08-04,17122.064,16262.375
CA,2016-08-05,16534.36,18719.725
CA,2016-08-06,20469.48,20136.332
CA,2016-08-07,15868.572,17173.342
CA,2016-08-08,15735.665,15071.005
CA,2016-08-09,14440.869,14414.104
